
########################################################################################################################################

Country,Year,Calidad regulatoria: estimación,Efectividad del gobierno: estimación,"PIB, PPA (dólares internacionales constantes de 2021)",Población urbana (% de la población total),"PIB, PPA (dólares internacionales constantes de 2021)_log",Población urbana (% de la población total)_minmax,Efectividad del gobierno: estimación_std,Calidad regulatoria: estimación_std
Corea del Sur,2021,1.09228515625,1.36565375328064,2485843254661.73,81.414,12.395473740644647,0.81414,0.7554044287012894,0.5408328698178992
Corea del Sur,2022,1.1452225446701,1.34904730319977,2550790190109.81,81.427,12.406674738098449,0.81427,0.7404361789604836,0.5905143884077769
Dinamarca,2020,1.78572452068329,1.8400673866272,379890744962.518,88.116,11.579658713243495,0.8811599999999999,1.1830178987561941,1.191622825711615
Dinamarca,2021,1.79559290409088,1.95973408222198,407934531584.374,88.24,11.61059046982364,0.8824,1.2908796619022531,1.2008842624456204
Dinamarca,2022,1.84312748908997,1.9901350736618,414217429534.393,88.367,11.6172283692841,0.8836700000000001,1.3182816430615811,1.2454952725232866
Estados Unidos,2020,1.2384375333786,1.27459323406219,22329130338514.2,82.664,13.348871808761592,0.82664,0.6733268873512962,0.677996267143944
Estados Unidos,2021,1.44095718860626,1.2975310087204,23681171000000.0,82.873,13.374403173822198,0.8287300000000001,0.6940018863974756,0.8680601202407905
Estados Unidos,2022,1.42443990707397,1.25549554824829,24276130895651.5,83.084,13.385179470518311,0.83084,0.6561131583880424,0.8525587203041602
Francia,2020,1.18946194648743,1.2042510509491,3330487114472.45,80.975,12.522507757727482,0.80975,0.609923850638283,0.6320328827911951
Francia,2021,1.23037326335907,1.22854030132294,3559702490270.83,81.242,12.551413702401955,0.81242,0.6318170044334708,0.6704279833119267
Francia,2022,1.1889523267746,1.16521215438843,3651216762660.35,81.509,12.562437616579766,0.81509,0.5747360801948734,0.6315546068128673
India,2020,-0.128488674759865,0.374532461166382,10378712667572.0,34.926,13.0161434887686,0.34926,-0.1379442973389674,-0.6048582870266321
India,2021,-0.0908545926213264,0.249238416552544,11384367630967.9,35.393,13.056308911805957,0.35393,-0.2508782803204365,-0.5695388576558235
India,2022,-0.0504464171826839,0.369541674852371,12179797874332.3,35.872,13.085640081171235,0.35872,-0.1424427503850623,-0.5316159532747736
Indonesia,2020,0.216156706213951,0.31706503033638,3404556313997.13,56.641,12.532060522140847,0.56641,-0.18974265595486775,-0.2814100321583438
